sale_id,date,store_channel,payment_method,product_id,product_name,category,sub_category,quantity_sold,unit_price,discount_pct,discount_amount,total_sale,cost_total,gross_profit,customer_id,is_promotion,is_returned,net_profit
S00001,2024-01-01,Physical,Debit Card,P006,Men's Puffer Jacket,Men,Jacket,1,89.99,10,9.0,80.99,35.0,45.99,C032,True,False,45.99
S00002,2024-01-01,Physical,Debit Card,P005,Men's Hoodie,Men,Jacket,1,59.99,15,9.0,50.99,22.0,28.99,C151,True,False,28.99
S00003,2024-01-01,Online,Credit Card,P004,Men's Chino Pants,Men,Pants,1,44.99,10,4.5,40.49,15.0,25.49,C010,True,False,25.49
S00004,2024-01-01,Physical,Cash,P023,Canvas Tote Bag,All,Accessories,1,24.99,20,5.0,19.99,8.0,11.99,C017,True,False,11.99
S00005,2024-01-01,Physical,Credit Card,P006,Men's Puffer Jacket,Men,Jacket,1,89.99,10,9.0,80.99,35.0,45.99,C089,True,False,45.99
S00006,2024-01-01,Physical,Debit Card,P021,Unisex Socks (3-pack),All,Accessories,1,9.99,15,1.5,8.49,2.5,5.99,C085,True,False,5.99
S00007,2024-01-01,Online,Debit Card,P003,Men's Slim Jeans,Men,Pants,2,49.99,10,10.0,89.98,36.0,53.98,C122,True,False,53.98
S00008,2024-01-01,Physical,Cash,P002,Men's Premium T-shirt,Men,Shirt,2,29.99,5,3.0,56.98,22.0,34.98,C083,True,False,34.98
S00009,2024-01-01,Online,Debit Card,P023,Canvas Tote Bag,All,Accessories,3,24.99,10,7.5,67.47,24.0,43.47,C044,True,False,43.47
S00010,2024-01-01,Physical,Mobile Pay,P022,Leather Belt,All,Accessories,2,19.99,20,8.0,31.98,12.0,19.98,C103,True,False,19.98
S00011,2024-01-01,Online,Debit Card,P006,Men's Puffer Jacket,Men,Jacket,2,89.99,10,18.0,161.98,70.0,91.98,C070,True,False,91.98
S00012,2024-01-01,Physical,Credit Card,P001,Men's Basic T-shirt,men,Shirt,1,19.99,0,0.0,19.99,7.0,12.99,C023,True,False,12.99
S00013,2024-01-01,Physical,Debit Card,P024,Men's Swim Shorts,Men,Swimwear,1,29.99,10,3.0,26.99,10.0,16.99,C136,True,False,16.99
S00014,2024-01-01,Online,Credit Card,P020,Unisex Cap,All,Accessories,1,14.99,20,3.0,11.99,4.0,7.99,C119,True,False,7.99
S00015,2024-01-01,Online,Mobile Pay,P014,Women's Puffer Jacket,Women,Jacket,3,84.99,10,25.5,229.47,96.0,133.47,C106,True,False,133.47
S00016,2024-01-01,Online,PayPal,P002,Men's Premium T-shirt,Men,Shirt,2,29.99,0,0.0,59.98,22.0,37.98,C062,True,False,37.98
S00017,2024-01-01,Physical,Cash,P015,Women's Cardigan,Women,Top,1,49.99,20,10.0,39.99,18.0,21.99,C045,True,False,21.99
S00018,2024-01-01,Physical,Debit Card,P007,Men's Polo Shirt,Men,Shirt,3,34.99,10,10.5,94.47,36.0,58.47,C197,True,False,58.47
S00019,2024-01-01,Online,Credit Card,P004,Men's Chino Pants,Men,Pants,3,44.99,20,26.99,107.98,45.0,62.98,C011,True,False,62.98
S00020,2024-01-01,Online,Mobile Pay,P018,Kids Jacket,Kids,Jacket,3,44.99,10,13.5,121.47,48.0,73.47,C041,True,False,73.47
S00021,2024-01-01,Online,Credit Card,P020,Unisex Cap,All,Accessories,1,14.99,10,1.5,13.49,4.0,9.49,C190,True,False,9.49
S00022,2024-01-01,Online,Credit Card,P020,Unisex Cap,All,Accessories,3,14.99,20,8.99,35.98,12.0,23.98,C154,True,False,23.98
S00023,2024-01-01,Online,Credit Card,P006,Men's Puffer Jacket,Men,Jacket,1,89.99,10,9.0,80.99,35.0,45.99,C153,True,False,45.99
S00024,2024-01-01,Physical,Cash,P010,Women's Blouse,Women,Top,3,34.99,5,5.25,99.72,36.0,63.72,C058,True,False,63.72
S00025,2024-01-01,Online,PayPal,P007,Men's Polo Shirt,Men,Shirt,2,34.99,10,7.0,62.98,24.0,38.98,C024,True,False,38.98
S00026,2024-01-01,Online,Debit Card,P014,Women's Puffer Jacket,Women,Jacket,1,84.99,5,4.25,80.74,32.0,48.74,C100,True,False,48.74
S00027,2024-01-02,Online,Credit Card,P023,Canvas Tote Bag,All,Accessories,2,24.99,10,5.0,44.98,16.0,28.98,C088,True,False,28.98
S00028,2024-01-02,Online,Credit Card,P022,Leather Belt,All,Accessories,3,19.99,5,3.0,56.97,18.0,38.97,C083,True,True,0.0
S00029,2024-01-02,Physical,Cash,P002,Men's Premium T-shirt,Men,Shirt,1,29.99,15,4.5,25.49,11.0,14.49,C136,True,False,14.49
S00030,2024-01-02,Physical,Debit Card,P009,Women's Casual Dress,Women,Dress,1,44.99,10,4.5,40.49,16.0,24.49,C048,True,False,24.49
S00031,2024-01-02,Online,Credit Card,P006,Men's Puffer Jacket,Men,Jacket,1,89.99,20,18.0,71.99,35.0,36.99,C089,True,False,36.99
S00032,2024-01-02,Online,Credit Card,P011,Women's Skirt,Women,Skirt,1,39.99,10,4.0,35.99,14.0,21.99,C057,True,False,21.99
S00033,2024-01-02,Physical,Debit Card,P020,Unisex Cap,All,Accessories,1,14.99,20,3.0,11.99,4.0,7.99,C150,True,False,7.99
S00034,2024-01-02,Physical,Debit Card,P024,Men's Swim Shorts,Men,Swimwear,2,29.99,10,6.0,53.98,20.0,33.98,C090,True,False,33.98
S00035,2024-01-02,Physical,Cash,P012,Women's Skinny Jeans,Women,Pants,1,54.99,15,8.25,46.74,20.0,26.74,C107,True,False,26.74
S00036,2024-01-02,Physical,Debit Card,P021,Unisex Socks (3-pack),All,Accessories,2,9.99,10,2.0,17.98,5.0,12.98,C062,True,False,12.98
S00037,2024-01-02,Online,Debit Card,P010,Women's Blouse,Women,Top,2,34.99,10,7.0,62.98,24.0,38.98,Guest,True,False,38.98
S00038,2024-01-02,Physical,Credit Card,P001,Men's Basic T-shirt,Men,Shirt,2,19.99,10,4.0,35.98,14.0,21.98,C094,True,False,21.98
S00039,2024-01-02,Online,Debit Card,P006,Men's Puffer Jacket,Men,Jacket,3,89.99,10,27.0,242.97,105.0,137.97,C168,True,False,137.97
S00040,2024-01-02,Online,PayPal,P021,Unisex Socks (3-pack),All,Accessories,1,9.99,10,1.0,8.99,2.5,6.49,C074,True,False,6.49
S00041,2024-01-02,Online,PayPal,P009,Women's Casual Dress,Women,Dress,1,44.99,15,6.75,38.24,16.0,22.24,C190,True,False,22.24
S00042,2024-01-02,Online,Debit Card,P023,Canvas Tote Bag,All,Accessories,2,24.99,10,5.0,44.98,16.0,28.98,C197,True,False,28.98
S00043,2024-01-02,Online,Debit Card,P020,Unisex Cap,All,Accessories,1,14.99,10,1.5,13.49,4.0,9.49,C093,True,False,9.49
S00044,2024-01-02,Online,Credit Card,P009,Women's Casual Dress,Women,Dress,2,44.99,10,9.0,80.98,32.0,48.98,C057,True,False,48.98
S00045,2024-01-02,Physical,Mobile Pay,P005,Men's Hoodie,Men,Jacket,1,59.99,15,9.0,50.99,22.0,28.99,C077,True,False,28.99
