sale_id,date,store_channel,payment_method,product_id,product_name,category,sub_category,quantity_sold,unit_price,discount_pct,discount_amount,total_sale,cost_total,gross_profit,customer_id,is_promotion,is_returned,net_profit,year,quarter,month_num,month_name,day_of_week,is_weekend,days_since_start,profit_margin_pct,revenue_per_unit,break_even_sale,profitability,season,catalogue_margin_pct,is_winter,is_summer,cost_price,margin_erosion
S00001,2024-01-01,Physical,Debit Card,P006,Men's Puffer Jacket,Men,Jacket,1,89.99,10,9.0,80.99,35.0,45.99,C032,True,False,45.99,2024,1,1,Jan,Monday,False,0,56.78,80.99,False,High,Winter,61.1,True,False,35.0,4.32
S00002,2024-01-01,Physical,Debit Card,P005,Men's Hoodie,Men,Jacket,1,59.99,15,9.0,50.99,22.0,28.99,C151,True,False,28.99,2024,1,1,Jan,Monday,False,0,56.85,50.99,False,High,Winter,63.3,True,False,22.0,6.45
S00003,2024-01-01,Online,Credit Card,P004,Men's Chino Pants,Men,Pants,1,44.99,10,4.5,40.49,15.0,25.49,C010,True,False,25.49,2024,1,1,Jan,Monday,False,0,62.95,40.49,False,Very High,All,66.7,True,True,15.0,3.75
S00004,2024-01-01,Physical,Cash,P023,Canvas Tote Bag,All,Accessories,1,24.99,20,5.0,19.99,8.0,11.99,C017,True,False,11.99,2024,1,1,Jan,Monday,False,0,59.98,19.99,False,High,All,68.0,True,True,8.0,8.02
S00005,2024-01-01,Physical,Credit Card,P006,Men's Puffer Jacket,Men,Jacket,1,89.99,10,9.0,80.99,35.0,45.99,C089,True,False,45.99,2024,1,1,Jan,Monday,False,0,56.78,80.99,False,High,Winter,61.1,True,False,35.0,4.32
S00006,2024-01-01,Physical,Debit Card,P021,Unisex Socks (3-pack),All,Accessories,1,9.99,15,1.5,8.49,2.5,5.99,C085,True,False,5.99,2024,1,1,Jan,Monday,False,0,70.55,8.49,False,Very High,All,75.0,True,True,2.5,4.45
S00007,2024-01-01,Online,Debit Card,P003,Men's Slim Jeans,Men,Pants,2,49.99,10,10.0,89.98,36.0,53.98,C122,True,False,53.98,2024,1,1,Jan,Monday,False,0,59.99,44.99,False,High,All,64.0,True,True,18.0,4.01
S00008,2024-01-01,Physical,Cash,P002,Men's Premium T-shirt,Men,Shirt,2,29.99,5,3.0,56.98,22.0,34.98,C083,True,False,34.98,2024,1,1,Jan,Monday,False,0,61.39,28.49,False,Very High,All,63.3,True,True,11.0,1.91
S00009,2024-01-01,Online,Debit Card,P023,Canvas Tote Bag,All,Accessories,3,24.99,10,7.5,67.47,24.0,43.47,C044,True,False,43.47,2024,1,1,Jan,Monday,False,0,64.43,22.49,False,Very High,All,68.0,True,True,8.0,3.57
S00010,2024-01-01,Physical,Mobile Pay,P022,Leather Belt,All,Accessories,2,19.99,20,8.0,31.98,12.0,19.98,C103,True,False,19.98,2024,1,1,Jan,Monday,False,0,62.48,15.99,False,Very High,All,70.0,True,True,6.0,7.52
S00011,2024-01-01,Online,Debit Card,P006,Men's Puffer Jacket,Men,Jacket,2,89.99,10,18.0,161.98,70.0,91.98,C070,True,False,91.98,2024,1,1,Jan,Monday,False,0,56.78,80.99,False,High,Winter,61.1,True,False,35.0,4.32
S00012,2024-01-01,Physical,Credit Card,P001,Men's Basic T-shirt,men,Shirt,1,19.99,0,0.0,19.99,7.0,12.99,C023,True,False,12.99,2024,1,1,Jan,Monday,False,0,64.98,19.99,False,Very High,All,65.0,True,True,7.0,0.02
S00013,2024-01-01,Physical,Debit Card,P024,Men's Swim Shorts,Men,Swimwear,1,29.99,10,3.0,26.99,10.0,16.99,C136,True,False,16.99,2024,1,1,Jan,Monday,False,0,62.95,26.99,False,Very High,Summer,66.7,False,True,10.0,3.75
S00014,2024-01-01,Online,Credit Card,P020,Unisex Cap,All,Accessories,1,14.99,20,3.0,11.99,4.0,7.99,C119,True,False,7.99,2024,1,1,Jan,Monday,False,0,66.64,11.99,False,Very High,All,73.3,True,True,4.0,6.66
S00015,2024-01-01,Online,Mobile Pay,P014,Women's Puffer Jacket,Women,Jacket,3,84.99,10,25.5,229.47,96.0,133.47,C106,True,False,133.47,2024,1,1,Jan,Monday,False,0,58.16,76.49,False,High,Winter,62.3,True,False,32.0,4.14
S00016,2024-01-01,Online,PayPal,P002,Men's Premium T-shirt,Men,Shirt,2,29.99,0,0.0,59.98,22.0,37.98,C062,True,False,37.98,2024,1,1,Jan,Monday,False,0,63.32,29.99,False,Very High,All,63.3,True,True,11.0,-0.02
S00017,2024-01-01,Physical,Cash,P015,Women's Cardigan,Women,Top,1,49.99,20,10.0,39.99,18.0,21.99,C045,True,False,21.99,2024,1,1,Jan,Monday,False,0,54.99,39.99,False,High,Winter,64.0,True,False,18.0,9.01
S00018,2024-01-01,Physical,Debit Card,P007,Men's Polo Shirt,Men,Shirt,3,34.99,10,10.5,94.47,36.0,58.47,C197,True,False,58.47,2024,1,1,Jan,Monday,False,0,61.89,31.49,False,Very High,Summer,65.7,False,True,12.0,3.81
S00019,2024-01-01,Online,Credit Card,P004,Men's Chino Pants,Men,Pants,3,44.99,20,26.99,107.98,45.0,62.98,C011,True,False,62.98,2024,1,1,Jan,Monday,False,0,58.33,35.99,False,High,All,66.7,True,True,15.0,8.37
S00020,2024-01-01,Online,Mobile Pay,P018,Kids Jacket,Kids,Jacket,3,44.99,10,13.5,121.47,48.0,73.47,C041,True,False,73.47,2024,1,1,Jan,Monday,False,0,60.48,40.49,False,Very High,Winter,64.4,True,False,16.0,3.92
S00021,2024-01-01,Online,Credit Card,P020,Unisex Cap,All,Accessories,1,14.99,10,1.5,13.49,4.0,9.49,C190,True,False,9.49,2024,1,1,Jan,Monday,False,0,70.35,13.49,False,Very High,All,73.3,True,True,4.0,2.95
S00022,2024-01-01,Online,Credit Card,P020,Unisex Cap,All,Accessories,3,14.99,20,8.99,35.98,12.0,23.98,C154,True,False,23.98,2024,1,1,Jan,Monday,False,0,66.65,11.99,False,Very High,All,73.3,True,True,4.0,6.65
S00023,2024-01-01,Online,Credit Card,P006,Men's Puffer Jacket,Men,Jacket,1,89.99,10,9.0,80.99,35.0,45.99,C153,True,False,45.99,2024,1,1,Jan,Monday,False,0,56.78,80.99,False,High,Winter,61.1,True,False,35.0,4.32
S00024,2024-01-01,Physical,Cash,P010,Women's Blouse,Women,Top,3,34.99,5,5.25,99.72,36.0,63.72,C058,True,False,63.72,2024,1,1,Jan,Monday,False,0,63.9,33.24,False,Very High,All,65.7,True,True,12.0,1.8
S00025,2024-01-01,Online,PayPal,P007,Men's Polo Shirt,Men,Shirt,2,34.99,10,7.0,62.98,24.0,38.98,C024,True,False,38.98,2024,1,1,Jan,Monday,False,0,61.89,31.49,False,Very High,Summer,65.7,False,True,12.0,3.81
S00026,2024-01-01,Online,Debit Card,P014,Women's Puffer Jacket,Women,Jacket,1,84.99,5,4.25,80.74,32.0,48.74,C100,True,False,48.74,2024,1,1,Jan,Monday,False,0,60.37,80.74,False,Very High,Winter,62.3,True,False,32.0,1.93
S00027,2024-01-02,Online,Credit Card,P023,Canvas Tote Bag,All,Accessories,2,24.99,10,5.0,44.98,16.0,28.98,C088,True,False,28.98,2024,1,1,Jan,Tuesday,False,1,64.43,22.49,False,Very High,All,68.0,True,True,8.0,3.57
S00028,2024-01-02,Online,Credit Card,P022,Leather Belt,All,Accessories,3,19.99,5,3.0,56.97,18.0,38.97,C083,True,True,0.0,2024,1,1,Jan,Tuesday,False,1,0.0,18.99,True,Loss/Break-even,All,70.0,True,True,6.0,70.0
S00029,2024-01-02,Physical,Cash,P002,Men's Premium T-shirt,Men,Shirt,1,29.99,15,4.5,25.49,11.0,14.49,C136,True,False,14.49,2024,1,1,Jan,Tuesday,False,1,56.85,25.49,False,High,All,63.3,True,True,11.0,6.45
S00030,2024-01-02,Physical,Debit Card,P009,Women's Casual Dress,Women,Dress,1,44.99,10,4.5,40.49,16.0,24.49,C048,True,False,24.49,2024,1,1,Jan,Tuesday,False,1,60.48,40.49,False,Very High,All,64.4,True,True,16.0,3.92
S00031,2024-01-02,Online,Credit Card,P006,Men's Puffer Jacket,Men,Jacket,1,89.99,20,18.0,71.99,35.0,36.99,C089,True,False,36.99,2024,1,1,Jan,Tuesday,False,1,51.38,71.99,False,High,Winter,61.1,True,False,35.0,9.72
S00032,2024-01-02,Online,Credit Card,P011,Women's Skirt,Women,Skirt,1,39.99,10,4.0,35.99,14.0,21.99,C057,True,False,21.99,2024,1,1,Jan,Tuesday,False,1,61.1,35.99,False,Very High,Summer,65.0,False,True,14.0,3.9
